playerID,name,pos,decades,seasons,games,rookieYear
ElliOm20,'Omar Ellison,WR,1990,2,12,1995
BrowAB00,A.B. Brown,RB,1980|1990,4,33,1989
BrowAJ00,A.J. Brown,WR,2010|2020,7,105,2019
DerbA.00,A.J. Derby,TE,2010,4,25,2015
FeelA.00,A.J. Feeley,QB,2000|2010,11,28,2001
GreeA.00,A.J. Green,WR,2010|2020,12,158,2011
JenkA.00,A.J. Jenkins,WR,2010,3,28,2012
JoneA.20,A.J. Jones,RB,1980,4,37,1982
McCaA.00,A.J. McCarron,QB,2010|2020,10,19,2014
OfodA.00,A.J. Ofodile,TE,1990,6,24,1994
PerrAT00,A.T. Perry,WR,2020,1,10,2023
BarnAJ00,AJ Barner,TE,2020,2,34,2024
DillAJ00,AJ Dillon,RB,2020,6,67,2020
BrooAa00,Aaron Brooks,QB,1990|2000,8,93,1999
BrowAa00,Aaron Brown,RB,2000|2010,3,22,2009
BurbAa00,Aaron Burbridge,WR,2010,1,16,2016
CoxxAa00,Aaron Cox,WR,1980|1990,6,82,1988
CravAa00,Aaron Craver,RB,1990,9,103,1991
DobsAa00,Aaron Dobson,WR,2010,3,24,2013
00-0023051,Aaron Halterman,TE,2000,1,1,2007
HaydAa00,Aaron Hayden,RB,1990,4,32,1995
HernAa00,Aaron Hernandez,TE,2010,3,38,2010
JoneAa00,Aaron Jones,RB,2010|2020,9,126,2017
LainAa00,Aaron Laing,TE,1990,4,32,1994
MellAa00,Aaron Mellette,WR,2010,1,0,2013
00-0021780,Aaron Moorehead,WR,2000,5,13,2003
MurrAa00,Aaron Murray,QB,2010,1,0,2014
PierAa00,Aaron Pierce,TE,1990,8,82,1992
RipkAa00,Aaron Ripkowski,RB,2010,3,47,2015
RodgAa00,Aaron Rodgers,QB,2000|2010|2020,21,264,2005
00-0037609,Aaron Shampklin,RB,2020,1,3,2024
SheaAa00,Aaron Shea,TE,2000,6,65,2000
00-0015601,Aaron Stecker,RB,2000,10,93,2000
WalkAa00,Aaron Walker,TE,2000,5,55,2003
00-0000003,Abdul-Karim al-Jabbar,RB,1990|2000,2,14,1999
SandAc00,Ace Sanders,WR,2010,2,27,2013
00-0023217,Adam Bergen,TE,2000,2,19,2005
00-0032009,Adam Humphries,WR,2010|2020,7,94,2015
JennAd00,Adam Jennings,WR,2000,4,46,2006
00-0036727,Adam Prentice,RB,2020,4,15,2021
ShahAd00,Adam Shaheen,TE,2010|2020,5,55,2017
00-0030035,Adam Thielen,WR,2010|2020,11,146,2014
TrauAd00,Adam Trautman,TE,2020,6,94,2020
EcheAd00,Adimchinobe Echemandu,RB,2000,4,19,2004
MitcAd00,Adonai Mitchell,WR,2020,2,33,2024
ArriAd00,Adrian Arrington,WR,2000|2010,4,5,2008
CoopAd00,Adrian Cooper,TE,1990,6,77,1991
00-0036000,Adrian Killins,RB,2020,1,1,2020
MadiAd00,Adrian Madise,WR,2000,1,11,2003
MurrAd00,Adrian Murrell,RB,1990|2000,11,122,1993
PeteAd00,Adrian Peterson,RB,2000,8,106,2002
PeteAd01,Adrian Peterson,RB,2000|2010|2020,15,184,2007
RobiAd00,Adrien Robinson,TE,2010,3,19,2012
BradAh00,Ahmad Bradshaw,RB,2000|2010,9,103,2007
00-0019510,Ahmad Merritt,WR,2000,3,15,2001
GreeAh00,Ahman Green,RB,1990|2000,12,148,1998
00-0024489,Ahmard Hall,RB,2000|2010,6,61,2006
OConAi00,Aidan O'Connell,QB,2020,3,21,2023
SmitAi00,Ainias Smith,WR,2020,1,7,2024
CurrAi00,Airese Currie,WR,2000,2,1,2005
00-0031743,Akeem Hunt,RB,2010,3,20,2015
SmitAk00,Akili Smith,QB,1990|2000,4,22,1999
EdwaAl00,Al Edwards,WR,1990,3,37,1990
ToonAl00,Al Toon,WR,1980|1990,8,107,1985
BonnAl00,Alan Bonner,WR,2010,1,0,2013
00-0032745,Alan Cross,TE,2010,3,18,2016
00-0018588,Alan Ricard,RB,2000,4,40,2002
ConnAl00,Albert Connell,WR,1990|2000,5,61,1997
OkwuAl00,Albert Okwuegbunam,TE,2020,6,31,2020
00-0030669,Albert Wilson,WR,2010|2020,7,78,2014
00-0025955,Albert Young,RB,2000|2010,2,4,2009
RobiAl00,Aldrick Robinson,WR,2010,8,82,2011
00-0035125,Alec Ingold,RB,2010|2020,6,60,2019
PierAl00,Alec Pierce,WR,2020,4,64,2022
ArmaAl00,Alex Armah,RB,2010|2020,7,78,2017
00-0035602,Alex Bachman,WR,2020,2,2,2021
BannAl00,Alex Bannister,WR,2000,6,59,2001
BrinAl00,Alex Brink,QB,2000,1,0,2008
CollAl00,Alex Collins,RB,2010|2020,6,50,2016
00-0032864,Alex Ellis,TE,2010,1,3,2016
00-0032543,Alex Erickson,WR,2010|2020,7,63,2016
GreeAl00,Alex Green,RB,2010,3,29,2011
00-0023714,Alex Haynes,RB,2000,1,3,2007
HigdAl20,Alex Higdon,TE,1980,1,3,1988
00-0023163,Alex Holmes,TE,2000,1,1,2005
JohnAl24,Alex Johnson,WR,1990,1,5,1991
McGoAl00,Alex McGough,QB,2010,1,0,2018
SmitAl03,Alex Smith,QB,2000|2010|2020,16,174,2005
SmitAl02,Alex Smith,TE,2000|2010,11,124,2005
00-0029623,Alex Tanney,QB,2010,2,2,2015
VanDAl00,Alex Van Dyke,WR,1990|2000,5,42,1996
VanPAl00,Alex Van Pelt,QB,1990|2000,11,31,1993
00-0035104,Alexander Hollins,WR,2010,1,2,2019
MattAl01,Alexander Mattison,RB,2010|2020,6,89,2019
WrigAl00,Alexander Wright,WR,1990,7,86,1990
00-0027346,Alfonso Smith,RB,2010,4,20,2011
AndeAl00,Alfred Anderson,RB,1980|1990,8,108,1984
BlueAl00,Alfred Blue,RB,2010,5,73,2014
JackAl22,Alfred Jackson,WR,1980|1990,8,45,1989
MorrAl00,Alfred Morris,RB,2010|2020,9,114,2012
