playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0000003,0,0,0,0.0,0,0,14,0,0,0,441,1,3.08,143,0,443,84,17,1,4.9,84,17,22,2,1,1,2
00-0000007,0,0,0,0.0,0,0,28,0,0,0,172,1,2.73,63,0,70,115,15,0,7.7,55,8,16,1,0,1,5
00-0000210,5,1,0,95.8,0.5,0,56,0,5,1,2213,3,3.64,608,7,1106,887,125,2,7.1,302,47,170,5,1,2,4
00-0000279,0,0,0,0.0,0,0,13,0,0,0,508,2,4.79,106,2,329,90,17,0,5.3,76,15,24,2,0,2,2
00-0000552,0,0,0,0.0,0,0,63,0,0,0,413,5,3.36,123,5,173,845,128,3,6.6,231,34,143,8,1,3,7
00-0000727,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0000781,0,0,0,0.0,0,0,6,0,0,0,81,0,5.4,15,1,81,7,1,0,7.0,7,1,3,0,0,0,1
00-0000856,0,0,0,0.0,0,0,12,0,0,0,305,0,5.0,61,1,305,172,16,0,10.8,172,16,19,0,0,0,1
00-0000969,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,65,4,1,16.2,65,4,8,1,1,0,1
00-0001098,0,0,0,0.0,0,0,57,0,0,0,899,4,3.84,234,5,322,603,82,1,7.4,176,25,105,5,1,3,5
00-0001222,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,0,0,0,1
00-0001545,1905,13,13,74.4,0.557,16,15,94,795,8,94,0,3.92,24,2,61,0,0,0,0,0,0,0,0,0,0,5
00-0001582,0,0,0,0.0,0,0,4,0,0,0,-14,0,-14.0,1,0,-14,68,4,1,17.0,68,4,6,1,1,0,1
00-0001907,1411,4,8,62.3,0.525,27,12,49,944,2,49,0,3.5,14,1,49,0,0,0,0,0,0,0,0,0,0,2
00-0002027,0,0,0,0.0,0,0,17,0,0,0,44,0,2.59,17,1,38,234,35,1,6.7,225,33,50,1,1,0,2
00-0002380,0,0,0,0.0,0,0,31,0,0,0,0,0,0,0,0,0,346,47,3,7.4,121,19,61,3,1,0,7
00-0002586,0,0,0,0.0,0,0,80,0,0,0,0,0,0,0,1,0,1356,146,12,9.3,339,34,177,12,5,0,8
00-0002713,0,0,0,0.0,0,0,36,0,0,0,120,2,2.73,44,1,90,260,39,0,6.7,104,19,62,2,0,2,4
00-0002721,0,0,0,0.0,0,0,52,0,0,0,4,0,4.0,1,6,4,3405,264,28,12.9,1274,96,437,28,12,0,4
00-0002873,0,0,0,39.6,0.0,0,3,0,0,0,190,2,3.65,52,0,133,6,1,0,6.0,6,1,2,2,0,2,2
00-0002962,0,0,0,39.6,0.0,0,82,0,0,0,-3,0,-1.0,3,2,0,3839,296,23,13.0,937,69,466,23,9,0,7
00-0003103,0,0,0,0.0,0,0,48,0,0,0,-7,0,-2.33,3,3,0,794,77,7,10.3,325,26,112,7,4,0,6
00-0003175,0,0,0,0.0,0,0,16,0,0,0,0,0,0,0,0,0,272,23,1,11.8,212,17,38,1,1,0,2
00-0003310,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,62,4,0,15.5,62,4,9,0,0,0,1
00-0003344,0,0,0,0.0,0,0,42,0,0,0,60,0,3.75,16,4,45,648,94,1,6.9,274,39,132,1,1,0,5
00-0003441,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,98,9,0,10.9,98,9,17,0,0,0,1
00-0003600,34,0,0,61.5,0.5,2,5,24,34,0,24,0,4.8,5,1,20,0,1,0,0.0,0,1,2,0,0,0,2
00-0003803,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,91,13,1,7.0,29,5,19,1,1,0,5
00-0003944,0,0,0,0.0,0,0,9,0,0,0,0,0,0,0,0,0,183,9,0,20.3,121,6,19,0,0,0,2
00-0004004,0,0,0,0.0,0,0,33,0,0,0,0,0,0,0,0,0,470,50,5,9.4,202,20,81,5,3,0,4
00-0004055,0,0,0,0.0,0,0,8,0,0,0,0,0,0,0,0,0,74,5,0,14.8,40,3,13,0,0,0,2
00-0004071,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,38,2,0,19.0,38,2,8,0,0,0,1
